Age_of_Specimen,GNP,W/C,Sand/C,SP/C,VMA/C,SR,UPV
7,2,0.299655568,1.429391504,0.004659013,0.001196326,40.33333333,3.448275862
28,2,0.299655568,1.429391504,0.004659013,0.001196326,55.66666667,3.896103896
28,2,0.299655568,1.429391504,0.004659013,0.001196326,54.8,3.738317757
28,2,0.299655568,1.429391504,0.004659013,0.001196326,52.86666667,3.703703704
28,2,0.299655568,1.429391504,0.004659013,0.001196326,55.63333333,3.361344538
28,2,0.299655568,1.429391504,0.004659013,0.001196326,57.33333333,3.647416413
28,2,0.299655568,1.429391504,0.004659013,0.001196326,56.13333333,3.409090909
1,1,0.299655568,1.429391504,0.004659013,0.001196326,19.96666667,3.06122449
1,1,0.299655568,1.429391504,0.004659013,0.001196326,20.33333333,3.438395415
1,1,0.299655568,1.429391504,0.004659013,0.001196326,20.86666667,3.007518797
7,1,0.299655568,1.429391504,0.004659013,0.001196326,38,3.614457831
7,1,0.299655568,1.429391504,0.004659013,0.001196326,38.2,3.539823009
7,1,0.299655568,1.429391504,0.004659013,0.001196326,39.9,3.20855615
28,1,0.299655568,1.429391504,0.004659013,0.001196326,60.16666667,3.726708075
28,1,0.299655568,1.429391504,0.004659013,0.001196326,61.13333333,3.738317757
28,1,0.299655568,1.429391504,0.004659013,0.001196326,65.26666667,3.592814371
1,0.5,0.299655568,1.429391504,0.004659013,0.001196326,28.06666667,3.75
1,0.5,0.299655568,1.429391504,0.004659013,0.001196326,26.1,3.571428571
1,0.5,0.299655568,1.429391504,0.004659013,0.001196326,26.26666667,3.448275862
7,0.5,0.299655568,1.429391504,0.004659013,0.001196326,51.2,4
7,0.5,0.299655568,1.429391504,0.004659013,0.001196326,48.26666667,3.93442623
7,0.5,0.299655568,1.429391504,0.004659013,0.001196326,49.66666667,3.870967742
1,0.3,0.299655568,1.429391504,0.004659013,0.001196326,25.1,3.438395415
1,0.3,0.299655568,1.429391504,0.004659013,0.001196326,24.26666667,3.658536585
1,0.3,0.299655568,1.429391504,0.004659013,0.001196326,24.53333333,3.571428571
7,0.3,0.299655568,1.429391504,0.004659013,0.001196326,46.03333333,3.986710963
7,0.3,0.299655568,1.429391504,0.004659013,0.001196326,46.43333333,4
7,0.3,0.299655568,1.429391504,0.004659013,0.001196326,44.7,3.821656051
1,0.1,0.299655568,1.429391504,0.004659013,0.001196326,19.76666667,3.93442623
1,0.1,0.299655568,1.429391504,0.004659013,0.001196326,20.03333333,3.680981595
1,0.1,0.299655568,1.429391504,0.004659013,0.001196326,20.43333333,3.488372093
7,0.1,0.299655568,1.429391504,0.004659013,0.001196326,37.3,4.109589041
7,0.1,0.299655568,1.429391504,0.004659013,0.001196326,36.46666667,4.026845638
7,0.1,0.299655568,1.429391504,0.004659013,0.001196326,37.4,3.896103896
